"","ASV1","ASV2","ASV25","ASV47","ASV69","ASV102","ASV178","ASV261","ASV315","ASV350","ASV352","ASV548","ASV764","ASV1180","ASV1510","ASV1650","ASV2247","ASV2263","ASV2385","ASV2679","ASV5312","ASV5425","ASV6615","ASV7140","ASV7525","ASV7760","ASV9005","ASV9196","ASV12760","ASV17612"
"197",0.00806451612903226,0.0403225806451613,0.491935483870967,0.112903225806452,0.245967741935484,0.00806451612903226,0.0161290322580645,0.0241935483870968,0.00403225806451613,0.00806451612903226,0.0161290322580645,0.00403225806451613,0.00806451612903226,0.00806451612903226,0,0.00403225806451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",0.00395256916996047,0.0434782608695652,0.33596837944664,0.288537549407115,0.134387351778656,0.0513833992094861,0,0.0513833992094861,0.0197628458498024,0,0.0237154150197628,0,0.00395256916996047,0.0316205533596838,0,0,0,0.0118577075098814,0,0,0,0,0,0,0,0,0,0,0,0
"200",0.00363636363636364,0.04,0.381818181818183,0.214545454545454,0.167272727272727,0.0472727272727273,0.00363636363636364,0.0509090909090909,0.0327272727272727,0.00363636363636364,0.0363636363636364,0,0.0109090909090909,0,0.00363636363636364,0,0,0.00363636363636364,0,0,0,0,0,0,0,0,0,0,0,0
"201",0.0212765957446809,0.0531914893617021,0.478723404255319,0.106382978723404,0.223404255319149,0.0212765957446809,0.0106382978723404,0.0319148936170213,0.0106382978723404,0.0106382978723404,0.0106382978723404,0,0,0,0,0,0,0.0212765957446809,0,0,0,0,0,0,0,0,0,0,0,0
"202",0.00836820083682008,0.0585774058577406,0.439330543933055,0.163179916317992,0.167364016736402,0.0292887029288703,0.00836820083682008,0.0460251046025104,0,0.00836820083682008,0.0251046025104603,0.00418410041841004,0,0.0251046025104603,0.00418410041841004,0.00418410041841004,0,0.00836820083682008,0,0,0,0,0,0,0,0,0,0,0,0
"205",0.00132100396301189,0.0211360634081902,0.340819022457066,0.163804491413474,0.247027741083223,0.0607661822985468,0.00396301188903567,0.0409511228533685,0.0449141347424042,0.00396301188903567,0.0290620871862616,0,0.0132100396301189,0.0158520475561427,0.00660501981505945,0.00132100396301189,0,0.00264200792602378,0,0.00132100396301189,0,0,0,0,0,0.00132100396301189,0,0,0,0
"213",0.0113636363636364,0.0795454545454546,0.363636363636363,0.272727272727273,0.136363636363636,0.0227272727272727,0,0.0340909090909091,0.0340909090909091,0,0.0113636363636364,0,0,0.0227272727272727,0,0,0,0.0113636363636364,0,0,0,0,0,0,0,0,0,0,0,0
"217",0.00943396226415094,0.0613207547169811,0.382075471698113,0.165094339622642,0.141509433962264,0.0377358490566038,0.0188679245283019,0.0471698113207547,0.0377358490566038,0.0141509433962264,0.0471698113207547,0,0.00471698113207547,0.0141509433962264,0,0,0,0.0188679245283019,0,0,0,0,0,0,0,0,0,0,0,0
"218",0.00518134715025907,0.0492227979274611,0.398963730569949,0.163212435233161,0.186528497409327,0.0466321243523316,0.0155440414507772,0.0440414507772021,0.0362694300518135,0.0103626943005181,0.0310880829015544,0.00259067357512953,0,0.00518134715025907,0.00259067357512953,0,0,0.00259067357512953,0,0,0,0,0,0,0,0,0,0,0,0
"221",0.00757575757575758,0.0227272727272727,0.424242424242424,0.21969696969697,0.0984848484848485,0.0454545454545455,0.00757575757575758,0.053030303030303,0.0151515151515152,0,0.0454545454545455,0.00757575757575758,0,0.0227272727272727,0.0151515151515152,0,0,0,0,0.00757575757575758,0,0,0,0,0,0,0,0.00757575757575758,0,0
"23",0.0091743119266055,0.055045871559633,0.403669724770641,0.119266055045872,0.279816513761468,0.0137614678899083,0.00458715596330275,0.0091743119266055,0,0.0137614678899083,0.0412844036697248,0.0091743119266055,0,0.0229357798165138,0,0.00458715596330275,0.00458715596330275,0,0,0.0091743119266055,0,0,0,0,0,0,0,0,0,0
"231",0.0028328611898017,0.0878186968838527,0.456090651558073,0.127478753541076,0.1671388101983,0.0226628895184136,0.0141643059490085,0.0509915014164306,0.0084985835694051,0.0141643059490085,0.0226628895184136,0.0028328611898017,0,0.0028328611898017,0.0028328611898017,0.0028328611898017,0,0.0141643059490085,0,0,0,0,0,0,0,0,0,0,0,0
"232",0.00835654596100279,0.0612813370473538,0.406685236768804,0.222841225626741,0.142061281337047,0.0473537604456825,0.00557103064066852,0.0445682451253482,0.011142061281337,0.00835654596100279,0.0278551532033426,0,0,0.00278551532033426,0,0,0,0.00835654596100279,0,0.00278551532033426,0,0,0,0,0,0,0,0,0,0
"234",0.0392156862745098,0.156862745098039,0.372549019607843,0.254901960784314,0.0980392156862745,0.0392156862745098,0,0.0196078431372549,0,0,0,0,0,0,0,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235",0.00289855072463768,0.0391304347826087,0.392753623188403,0.191304347826087,0.169565217391304,0.0507246376811594,0.0101449275362319,0.0478260869565218,0.0333333333333333,0.00289855072463768,0.0333333333333333,0.00289855072463768,0.00579710144927536,0.00579710144927536,0.00289855072463768,0,0,0.0072463768115942,0,0,0,0,0.00144927536231884,0,0,0,0,0,0,0
"239",0.0130718954248366,0.0849673202614379,0.424836601307189,0.0849673202614379,0.26797385620915,0.0065359477124183,0.0130718954248366,0.0261437908496732,0.0130718954248366,0.0065359477124183,0.0130718954248366,0.0065359477124183,0.0130718954248366,0.0065359477124183,0,0.0065359477124183,0,0.0065359477124183,0,0.0065359477124183,0,0,0,0,0,0,0,0,0,0
"24",0.00227790432801822,0.082004555808656,0.316628701594533,0.148063781321184,0.252847380410023,0.0523917995444191,0.00683371298405467,0.0364464692482916,0.0250569476082005,0.00683371298405467,0.0227790432801822,0.00227790432801822,0.00683371298405467,0.0136674259681093,0.00455580865603645,0.00227790432801822,0,0.0113895216400911,0,0.00227790432801822,0,0,0,0.00227790432801822,0.00227790432801822,0,0,0,0,0
"241",0.00518134715025907,0.0466321243523316,0.450777202072539,0.150259067357513,0.170984455958549,0.0466321243523316,0.0103626943005181,0.0362694300518135,0.00518134715025907,0.0155440414507772,0.0466321243523316,0,0,0,0,0.00518134715025907,0,0.0103626943005181,0,0,0,0,0,0,0,0,0,0,0,0
"242",0.00260078023407022,0.0377113133940182,0.360208062418724,0.183355006501951,0.208062418725618,0.059817945383615,0.00520156046814044,0.0442132639791937,0.035110533159948,0.00650195058517555,0.0247074122236671,0.00130039011703511,0.011703511053316,0.00780234070221066,0.00130039011703511,0.00130039011703511,0,0.00650195058517555,0.00130039011703511,0.00130039011703511,0,0,0,0,0,0,0,0,0,0
"243",0,0.0925925925925926,0.592592592592592,0.0555555555555556,0.185185185185185,0,0,0.0185185185185185,0,0,0.0185185185185185,0.0185185185185185,0,0,0,0,0,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0
"244",0.00302114803625378,0.054380664652568,0.407854984894259,0.172205438066465,0.187311178247734,0.0422960725075529,0.0120845921450151,0.054380664652568,0.0181268882175227,0.00302114803625378,0.0211480362537764,0.00302114803625378,0.00604229607250755,0.00906344410876133,0.00604229607250755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
