"X","sample_pair","group","beta_div_method","beta_div_value","time"
333,"130-295","Time 1","bray",0.972,1
334,"130-300","Time 1","bray",0.813537675606641,1
335,"130-318","Time 1","bray",0.866837387964149,1
336,"130-323","Time 1","bray",0.924786324786325,1
337,"130-343","Time 1","bray",0.830882352941177,1
338,"130-358","Time 1","bray",0.89937106918239,1
339,"130-359","Time 1","bray",0.914691943127962,1
340,"130-46","Time 1","bray",0.841791044776119,1
341,"130-5","Time 1","bray",0.913461538461538,1
342,"130-96","Time 1","bray",0.80125786163522,1
343,"139-167","Time 1","bray",0.721393034825871,1
344,"139-197","Time 1","bray",0.711382113821138,1
345,"139-23","Time 1","bray",0.711899791231733,1
346,"139-241","Time 1","bray",0.757847533632287,1
347,"139-243","Time 1","bray",0.787234042553192,1
348,"139-257","Time 1","bray",0.68075117370892,1
349,"139-263","Time 1","bray",0.832258064516129,1
350,"139-269","Time 1","bray",0.714285714285714,1
351,"139-279","Time 1","bray",0.695817490494297,1
352,"139-291","Time 1","bray",0.861313868613139,1
353,"139-295","Time 1","bray",0.892561983471074,1
354,"139-300","Time 1","bray",0.805714285714286,1
355,"139-318","Time 1","bray",0.739961759082218,1
356,"139-323","Time 1","bray",0.749235474006116,1
357,"139-343","Time 1","bray",0.702508960573477,1
358,"139-358","Time 1","bray",0.708994708994709,1
359,"139-359","Time 1","bray",0.701333333333333,1
360,"139-46","Time 1","bray",0.766990291262136,1
361,"139-5","Time 1","bray",0.726775956284153,1
362,"139-96","Time 1","bray",0.7243947858473,1
363,"167-197","Time 1","bray",0.733333333333333,1
364,"167-23","Time 1","bray",0.784810126582278,1
365,"167-241","Time 1","bray",0.736227045075125,1
366,"167-243","Time 1","bray",0.866666666666667,1
367,"167-257","Time 1","bray",0.696027633851468,1
368,"167-263","Time 1","bray",0.857451403887689,1
369,"167-269","Time 1","bray",0.69364161849711,1
370,"167-279","Time 1","bray",0.681885125184094,1
371,"167-291","Time 1","bray",0.822014051522248,1
372,"167-295","Time 1","bray",0.934177215189873,1
373,"167-300","Time 1","bray",0.799410029498525,1
374,"167-318","Time 1","bray",0.736686390532544,1
375,"167-323","Time 1","bray",0.8,1
376,"167-343","Time 1","bray",0.679324894514768,1
377,"167-358","Time 1","bray",0.751412429378531,1
378,"167-359","Time 1","bray",0.772727272727273,1
379,"167-46","Time 1","bray",0.702654867256637,1
380,"167-5","Time 1","bray",0.76878612716763,1
381,"167-96","Time 1","bray",0.718840579710145,1
382,"197-23","Time 1","bray",0.650671785028791,1
383,"197-241","Time 1","bray",0.778688524590164,1
