"","sample_pair","group","beta_div_method","beta_div_value"
"574","102-37","Time 2","bray",0.87037037037037
"575","102-83","Time 2","bray",0.881188118811881
"576","105-111","Time 2","bray",0.835616438356164
"577","105-129","Time 2","bray",0.78866474543708
"578","105-134","Time 2","bray",0.820224719101124
"579","105-144","Time 2","bray",0.764326069410815
"580","105-146","Time 2","bray",0.801324503311258
"581","105-19","Time 2","bray",0.789382071366406
"582","105-193","Time 2","bray",0.890140845070423
"583","105-218","Time 2","bray",0.801732435033686
"584","105-232","Time 2","bray",0.793499043977055
"585","105-235","Time 2","bray",0.821032005225343
"586","105-242","Time 2","bray",0.795665634674923
"587","105-244","Time 2","bray",0.847236180904523
"588","105-250","Time 2","bray",0.817007534983854
"589","105-27","Time 2","bray",0.798611111111111
"590","105-275","Time 2","bray",0.839490445859873
"591","105-286","Time 2","bray",0.804511278195489
"592","105-340","Time 2","bray",0.80658159838818
"593","105-341","Time 2","bray",0.776237623762376
"594","105-36","Time 2","bray",0.812578616352201
"595","105-369","Time 2","bray",0.842558425584256
"596","105-37","Time 2","bray",0.900671140939597
"597","105-83","Time 2","bray",0.832521908471276
"598","111-129","Time 2","bray",0.805447470817121
"599","111-134","Time 2","bray",0.728813559322034
"600","111-144","Time 2","bray",0.803921568627451
"601","111-146","Time 2","bray",0.776729559748428
"602","111-19","Time 2","bray",0.808873720136519
"603","111-193","Time 2","bray",0.9
"604","111-218","Time 2","bray",0.776332899869961
